FX5QA__Breadcrumb__c,FX5QA__Cost__c,FX5QA__Description__c,FX5QA__Name_Unique__c,FX5QA__Sequence_Number__c,FX5QA__Ticket_Item_Record_Type__c,FX5QA__Track_Inventory__c,FX5QA__UOM__c,Name
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",28.96,Sherwin Williams sherchem (gray),SWSG,898,Supplies,FALSE,GAL,SWSG
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",28.96,Sherwin Williams sherchem (white),SWSW,899,Supplies,FALSE,GAL,SWSW
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Sherchem",28.96,Sherwin Williams sherchem (yellow),SWSY,900,Supplies,FALSE,GAL,SWSY
"Supplies : Paint, Coating, and Thinner",0,Tuff chem coating (4-gal. kit),1194000,1272,Supplies,FALSE,Kit,1194000
Equipment : Abrasive Blasting,0,Turbine blasting unit (with compressor),TBUComp,1273,Equipment,FALSE,HR,TBUComp
Equipment : Abrasive Blasting,0,Turbine blasting unit (with plant air),TBUPA,1274,Equipment,FALSE,HR,TBUPA
Equipment,32.5,Ultrasonic Testing Gauge,UTGauge,1275,Supplies,FALSE,SHIFT,UTGauge
Supplies,0,Urethane enamel,UE,1276,Supplies,FALSE,GAL,UE
Equipment,0,Vacuum (electric),VacE,1277,Supplies,FALSE,SHIFT,VacE
Labor : OT,0,Vacuum Equipment Operator - OT,VEOOT,1278,Labor,FALSE,,VEOOT
Labor : ST,0,Vacuum Equipment Operator - ST,VEOST,1279,Labor,FALSE,,VEOST
Equipment,0,Vacuum for 55 gal. Drum,Vac55,1280,Supplies,FALSE,SHIFT,Vac55
Equipment : Vacuum Trucks,0,"15"" Vacuum Truck - Dry Service",DVS15,51,Equipment,FALSE,HR,DVS15
Equipment : 15000 CFM Blowers,0,"15,000 CFM blower",Blwr15,52,Services,FALSE,SHIFT,Blwr15
Equipment : 15000 CFM Blowers,0,"15,000 CFM Blower (Hourly)",Blwr15H,53,Equipment,FALSE,HR,Blwr15H
Equipment : 150 HP Hydroblast,0,150 HP Hydroblast Unit,HBU150,54,Equipment,FALSE,HR,HBU150
Equipment : Heaters,0,"150,000 BTU heater (with fuel)",Htr150F,55,Supplies,FALSE,SHIFT,Htr150F
Equipment : Heaters,0,"150,000 BTU heater (without fuel)",Htr150,56,Supplies,FALSE,SHIFT,Htr150
Equipment,0,16' enclosed trailer van,16TrailerVan,57,Supplies,FALSE,SHIFT,16TrailerVan
Equipment,0,16' enclosed trailer van,16TrailerVanM,58,Supplies,FALSE,MONTH,16TrailerVanM
Equipment,0,16' enclosed trailer van (insulated),16TrailerVanI,59,Supplies,FALSE,SHIFT,16TrailerVanI
Equipment,0,16' enclosed trailer van (insulated),16TrailerVanIM,60,Supplies,FALSE,MONTH,16TrailerVanIM
"Supplies : Paint, Coating, and Thinner : Wilko",73.8,Wilko wilkothane (Carlsbad canyon),WWCC,1321,Supplies,FALSE,GAL,WWCC
"Supplies : Paint, Coating, and Thinner : Wilko",75.84,Wilko wilkothane (white),WWW,1322,Supplies,FALSE,GAL,WWW
"Supplies : Paint, Coating, and Thinner : Solvent and Thinner",0,Xylene thinner,1000040,1323,Supplies,FALSE,GAL,1000040
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",31.23,Sherwin Williams #301 (basin blue),SW301BB,801,Supplies,FALSE,GAL,SW301BB
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",67.93,Sherwin Williams #304 HS polyurethane (alpine green),SW304AG,802,Supplies,FALSE,GAL,SW304AG
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",52.85,Sherwin Williams #304 HS polyurethane (Aztec machine),SW304AM,803,Supplies,FALSE,GAL,SW304AM
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",64.04,Sherwin Williams #304 HS polyurethane (black),SW304B,804,Supplies,FALSE,GAL,SW304B
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",124.18,Sherwin Williams #304 HS polyurethane (Bolack blue),SW304BB,805,Supplies,FALSE,GAL,SW304BB
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",41.72,Sherwin Williams #304 HS polyurethane (bolt brown),SW304BBR,806,Supplies,FALSE,GAL,SW304BBR
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",64.04,Sherwin Williams #304 HS polyurethane (carlsbad tan),SW304CT,807,Supplies,FALSE,GAL,SW304CT
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",60.48,Sherwin Williams #304 HS polyurethane (cedar green),SW304CG,808,Supplies,FALSE,GAL,SW304CG
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",54,Sherwin Williams #304 HS polyurethane (Citizen's Bank blue),SW304CBB,809,Supplies,FALSE,GAL,SW304CBB
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : HS Polyurethane",62.38,Sherwin Williams #304 HS polyurethane (Conoco safety green),SW304CSG,810,Supplies,FALSE,GAL,SW304CSG
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",45.64,Tnemec #39 thinner,T39T,1251,Supplies,FALSE,GAL,T39T
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",19.95,Tnemec #4 thinner,T4T,1252,Supplies,FALSE,GAL,T4T
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",22.95,Tnemec #42 thinner,T42T,1253,Supplies,FALSE,GAL,T42T
Supplies,0,"9"" roller frame",5300000,231,Supplies,FALSE,EA,5300000
Supplies,0,"9"" x 3/4"" roller cover nap",5300100,232,Supplies,FALSE,EA,5300100
Equipment : 900 CFM Air Compressors,0,900 CFM Air Compressor,AC900,233,Equipment,FALSE,HR,AC900
"Supplies : Paint, Coating, and Thinner : Solvent and Thinner",0,Acetone thinner,1000001,234,Supplies,FALSE,GAL,1000001
Equipment,0,Additional air pack,AddAP,235,Supplies,FALSE,HR,AddAP
Equipment,0,"Additional shotgun, foot valve or nozzle setup (for 10,000 PSI units)",AddSG10,236,Supplies,FALSE,HR,AddSG10
Equipment,0,Adhesion tester gauge,AdTest,237,Supplies,FALSE,SHIFT,AdTest
"Supplies : Paint, Coating, and Thinner : Plasite",54,Plasite #7122,P7122,661,Supplies,FALSE,GAL,P7122
"Supplies : Paint, Coating, and Thinner : Plasite",60,Plasite #7133,P7133,662,Supplies,FALSE,GAL,P7133
"Supplies : Paint, Coating, and Thinner : Plasite",71.5,Plasite #7156,P7156,663,Supplies,FALSE,GAL,P7156
"Supplies : Paint, Coating, and Thinner : Plasite",88.5,Plasite #7159,P7159,664,Supplies,FALSE,GAL,P7159
"Supplies : Paint, Coating, and Thinner : Plasite",88.37,Plasite #9029 plasguard,P9029P,665,Supplies,FALSE,GAL,P9029P
Equipment : Painting Equipment,0,Plural component spray unit (with compressor),PCSPU,666,Equipment,FALSE,HR,PCSPU
Equipment : Painting Equipment,0,Plural component spray unit (with plant air),PCSPUPA,667,Equipment,FALSE,HR,PCSPUPA
Equipment : Specialty Cleaning Tools,0,Pneumatic stack cleaning tool,Stack,668,Equipment,FALSE,DAY,Stack
Equipment : Coating Vans,0,Polibrid coating van,PCoatVan,669,Services,FALSE,SHIFT,PCoatVan
Equipment : Coating Vans,1.4,Polibrid coating van - Mileage,PCVM,670,Supplies,FALSE,MI,PCVM
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",27.34,Tnemec #47 thinner,T47T,1254,Supplies,FALSE,GAL,T47T
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",23.15,Tnemec #48 thinner,T48T,1255,Supplies,FALSE,GAL,T48T
"Supplies : Paint, Coating, and Thinner : Tnemec : Thinner",46.69,Tnemec #63 thinner,T63T,1256,Supplies,FALSE,GAL,T63T
"Supplies : Paint, Coating, and Thinner : Tnemec",324.61,Tnemec #700 hyrdoflon,T700H,1257,Supplies,FALSE,GAL,T700H
"Supplies : Paint, Coating, and Thinner : Tnemec",44,Tnemec #73 series (cloud delft blue),T73CDB,1258,Supplies,FALSE,GAL,T73CDB
"Supplies : Paint, Coating, and Thinner : Tnemec",44,Tnemec #73 series (confederate gray),T73CG,1259,Supplies,FALSE,GAL,T73CG
"Supplies : Paint, Coating, and Thinner : Tnemec",47.08,Tnemec #73 series (currency),T73C,1260,Supplies,FALSE,GAL,T73C
Equipment : Painting Equipment,0,Agitated paint unit (with compressor),AgPU,238,Equipment,FALSE,HR,AgPU
Equipment : Painting Equipment,0,Agitated paint unit (with plant air),AgPUPA,239,Equipment,FALSE,HR,AgPUPA
Equipment,0,Air chisels and accessories,Achis,240,Supplies,FALSE,SHIFT,Achis
"Supplies : Paint, Coating, and Thinner : Carboline : Carbothane",63.5,Carboline #134 HG carbothane (white),C134W,321,Supplies,FALSE,GAL,C134W
"Supplies : Paint, Coating, and Thinner : Carboline",45,Carboline #15 carbomastic,C15C,322,Supplies,FALSE,GAL,C15C
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",8.95,Carboline #2 thinner,C2T,323,Supplies,FALSE,GAL,C2T
"Supplies : Paint, Coating, and Thinner : Carboline",146,Carboline #2000 carboxane (white),C2000CW,324,Supplies,FALSE,GAL,C2000CW
"Supplies : Paint, Coating, and Thinner : Carboline",153,Carboline #2000 carboxane (yellow),C2000CY,325,Supplies,FALSE,GAL,C2000CY
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",14,Carboline #213 thinner,C213T,326,Supplies,FALSE,GAL,C213T
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",33.5,Carboline #214 thinner,C214T,327,Supplies,FALSE,GAL,C214T
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",37.26,Carboline #215 thinner,C215T,328,Supplies,FALSE,GAL,C215T
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",17,Carboline #221 thinner,C221T,329,Supplies,FALSE,GAL,C221T
"Supplies : Paint, Coating, and Thinner : Carboline",55,Carboline #241 pyrocrete,C241P,330,Supplies,FALSE,Sack,C241P
"Supplies : Paint, Coating, and Thinner : Carboline : Semstone",115,Carboline #245 semstone,C245S,331,Supplies,FALSE,GAL,C245S
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",13.5,Carboline #25 thinner,C25T,332,Supplies,FALSE,GAL,C25T
"Supplies : Paint, Coating, and Thinner : Carboline",12.5,Carboline #3 surface cleaner,1030100,333,Supplies,FALSE,GAL,1030100
"Supplies : Paint, Coating, and Thinner : Carboline",23.26,Carboline #300 bitumastic,C300B,334,Supplies,FALSE,GAL,C300B
"Supplies : Paint, Coating, and Thinner : Carboline : Phenoline",66,Carboline #311 phenoline primer,C311PP,335,Supplies,FALSE,GAL,C311PP
"Supplies : Paint, Coating, and Thinner : Carboline : Thinner",16.5,Carboline #33 thinner,C33T,336,Supplies,FALSE,GAL,C33T
"Supplies : Paint, Coating, and Thinner : Carboline",16.9,Carboline #3359 DTM (safety blue),C3359SB,337,Supplies,FALSE,GAL,C3359SB
"Supplies : Paint, Coating, and Thinner : Carboline : Phenoline",42.5,Carboline #341 phenoline (grey),C311PG,338,Supplies,FALSE,GAL,C311PG
"Supplies : Paint, Coating, and Thinner : Carboline : Phenoline",42.5,Carboline #341 phenoline (white),C311PW,339,Supplies,FALSE,GAL,C311PW
"Supplies : Paint, Coating, and Thinner : Carboline : Carboguard",51.91,Carboline #501 carboguard (gray),C501CG,340,Supplies,FALSE,GAL,C501CG
Equipment : Vacuum Trucks,0,Vacuum truck,VTD,1291,Equipment,FALSE,DAY,VTD
Equipment : Vacuum Trucks,0,Vacuum truck,LVH,1292,Equipment,FALSE,HR,LVH
Equipment,1.5,Vacuum Truck - Mileage Only,VACMILEAGE,1293,Supplies,FALSE,MI,VACMILEAGE
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Thinners",26.79,Sherwin Williams #54 reducer,SW54R,861,Supplies,FALSE,GAL,SW54R
"Supplies : Paint, Coating, and Thinner : Sherwin Williams",85.12,Sherwin Williams #55 epophen (gray),SW55G,862,Supplies,FALSE,GAL,SW55G
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Thinners",10.5,Sherwin Williams #55 reducer,SW55R,863,Supplies,FALSE,GAL,SW55R
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Thinners",33.19,Sherwin Williams #58 reducer,SW58R,864,Supplies,FALSE,GAL,SW58R
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",42.89,Sherwin Williams #610 macropoxy HS (bolt green),SW610BG,865,Supplies,FALSE,GAL,SW610BG
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",22.11,Sherwin Williams #646 macropoxy (Carlsbad canyon tan),SW646CT,866,Supplies,FALSE,GAL,SW646CT
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",33,Sherwin Williams #646 macropoxy (juniper green),SW646JP,867,Supplies,FALSE,GAL,SW646JP
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",33,Sherwin Williams #646 macropoxy (light blue),SW646LB,868,Supplies,FALSE,GAL,SW646LB
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",33,Sherwin Williams #646 macropoxy (light gray),SW646LG,869,Supplies,FALSE,GAL,SW646LG
"Supplies : Paint, Coating, and Thinner : Sherwin Williams : Macropoxy",33,Sherwin Williams #646 macropoxy (mill white),SW646MW,870,Supplies,FALSE,GAL,SW646MW
"Supplies : Paint, Coating, and Thinner",0,Valspar alumapoxy primer,1220100,1294,Supplies,FALSE,GAL,1220100
Equipment : Vapor Recovery Trucks,0,Vapor Recovery Wet Vacuum Truck Service,VaporVS,1295,Equipment,FALSE,HR,VaporVS
"Supplies : Paint, Coating, and Thinner : Solvent and Thinner",0,Varsol thinner,1000002,1296,Supplies,FALSE,GAL,1000002
Equipment,0,Ventilation Support,VENT,1297,Supplies,FALSE,HR,VENT
"Supplies : Paint, Coating, and Thinner : Versaflex",40,Versaflex #20 primer,V20P,1298,Supplies,FALSE,GAL,V20P
"Supplies : Paint, Coating, and Thinner : Versaflex",36.41,Versaflex #380 aromatic spray polyurea,V380P,1299,Supplies,FALSE,GAL,V380P
"Supplies : Paint, Coating, and Thinner : Versaflex",30,Versaflex 45DC polyurea,V45P,1300,Supplies,FALSE,GAL,V45P
Tax,0,TAX:  TX - MIDLAND COUNTY - 700-000-2245-1013,2344,1171,Supplies,FALSE,Lump Sum,2344
Tax,0,TAX:  TX - MOORE COUNTY - 700-000-2245-1037,2347,1172,Supplies,FALSE,Lump Sum,2347
Tax,0,TAX:  TX - MOORE COUNTY - 700-000-2245-1038,2348,1173,Supplies,FALSE,Lump Sum,2348
Tax,0,TAX:  TX - PALO PINTO COUNTY - 700-000-2245-1057,2364,1174,Supplies,FALSE,Lump Sum,2364
Tax,0,TAX:  TX - PALO PINTO COUNTY - 700-000-2245-1058,2365,1175,Supplies,FALSE,Lump Sum,2365
Tax,0,TAX:  TX - PECOS COUNTY - 700-000-2245-1024,2388,1176,Supplies,FALSE,Lump Sum,2388
Tax,0,TAX:  TX - PECOS COUNTY - 700-000-2245-1029,2389,1177,Supplies,FALSE,Lump Sum,2389
Tax,0,TAX:  TX - REAGAN COUNTY - 700-000-2245-1017,2349,1178,Supplies,FALSE,Lump Sum,2349
Tax,0,TAX:  TX - REAGAN COUNTY - 700-000-2245-1018,2350,1179,Supplies,FALSE,Lump Sum,2350
Tax,0,TAX:  TX - SCURRY COUNTY - 700-000-2245-1062,2368,1180,Supplies,FALSE,Lump Sum,2368
Tax,0,TAX: TEXAS -BORGER (CITY) - 700-000-2245-1103,2436,1221,Supplies,FALSE,Lump Sum,2436
Tax,0,TAX: TEXAS -BROWNFIELD (CITY) - 700-000-2245-1101,2434,1222,Supplies,FALSE,Lump Sum,2434
Tax,0,TAX: TX - CITY OF NEW DEAL - 700-000-2245-1087,2424,1223,Supplies,FALSE,Lump Sum,2424
Tax,0,TAX: TX - CITY OF NEW DEAL - 700-000-2245-1088,2425,1224,Supplies,FALSE,Lump Sum,2425
Tax,0,TAX: TX - SCHLEICHER (COUNTY) - 700-000-2245-1084,2430,1225,Supplies,FALSE,Lump Sum,2430
Tax,0,TAX: TX - SCHLEICHER (COUNTY) - 700-000-2245-1089,2431,1226,Supplies,FALSE,Lump Sum,2431
Tax,0,TAX: TX -BROWNFIELD (CITY) - 700-000-2245-1100,2433,1227,Supplies,FALSE,Lump Sum,2433
Tax,0,TAX: TX -LEVELLAND - 700-000-2245-1108,2443,1228,Supplies,FALSE,Lump Sum,2443
Tax,0,TAX: TX -LEVELLAND - 700-000-2245-1109,2444,1229,Supplies,FALSE,Lump Sum,2444
Equipment,0,Testex Press-O-Film,TesFilm,1230,Supplies,FALSE,SHIFT,TesFilm
